Comment,Designator,Footprint,MPN,Qty,Mount,Note
1k,R48,0402,RC0402FR-071KL,1,SMD,limits the crystal's drive
1k,"R50,R55",0805,RC0805FR-071KL,2,SMD,BOOTSEL button to the flash's chip select; status LED
27,"R51,R52",0402,RC0402FR-0727RL,2,SMD,USB series resistor
5.1k,"R53,R54",0805,RC0805FR-075K1L,2,SMD,USB-C: identifies the board as a device
2.2k,R56,0805,RC0805FR-072K2L,1,SMD,power LED
BOOTSEL,SW1,SW,KMR221GLFS,1,SMD,"held during reset: U2 starts as a USB drive, to load firmware"
RESET,SW2,SW,KMR221GLFS,1,SMD,resets U2
PCA9615DP,U1,TSSOP-10,"PCA9615DP,118",1,SMD,"differential I2C from the RJ45, back to plain I2C"
AP2112K-3.3,U11,SOT-23-5,AP2112K-3.3TRG1,1,SMD,3.3 V for the RP2040 and its flash
RP2040,U2,QFN-56-1EP,RP2040,1,SMD,runs the addressable outputs; I2C target at 0x30
W25Q16JV,U3,SOIC-8,W25Q16JVSSIQ,1,SMD,U2's program (2 MB QSPI flash)
INA226,U4,TSSOP-10,INA226AIDGSR,1,SMD,"the board's current and voltage, I2C address 0x45"
PCA9685PW,U5,TSSOP-28,"PCA9685PW,118",1,SMD,"16 PWM channels, I2C address 0x40"
AP63205,U6,TSOT-23-6,AP63205WU-7,1,SMD,"5 V for the logic, 2 A buck (about 100 mA used)"
74AHCT1G125,"U7,U8,U9,U10",SOT-23-5,SN74AHCT1G125DBVR,4,SMD,pixel output 1: 3.3 V data to 5 V; pixel output 2: 3.3 V data to 5 V; pixel output 3: 3.3 V data to 5 V; pixel output 4: 3.3 V data to 5 V
12MHz,Y1,3225-4Pin,ABM8-272-T3,1,SMD,"U2's clock: the crystal Raspberry Pi specify, with its 15 pF loads and 1k in XOUT"
ATO,"F1,F2,F3,F4,F5,F6,F7,F8",FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165,"Littelfuse 178.6165.0002 (ATO/ATC holder, 30 A)",8,THT (hand solder),zone 1's fuse: a standard blade (ATO/ATC) fuse sized for the strip's wire -- 10 A for 5 m of RGBW on 16 AWG; zone 2's fuse: a standard blade (ATO/ATC) fuse sized for the strip's wire -- 10 A for 5 m of RGBW on 16 AWG; zone 3's fuse: a standard blade (ATO/ATC) fuse sized for the strip's wire -- 10 A for 5 m of RGBW on 16 AWG; zone 4's fuse: a standard blade (ATO/ATC) fuse sized for the strip's wire -- 10 A for 5 m of RGBW on 16 AWG; J7's fuse: a standard blade (ATO/ATC) fuse -- 10 A for 5 m of WS2815 on 16 AWG; J8's fuse: a standard blade (ATO/ATC) fuse -- 10 A for 5 m of WS2815 on 16 AWG; J9's fuse: a standard blade (ATO/ATC) fuse -- 10 A for 5 m of WS2815 on 16 AWG; J10's fuse: a standard blade (ATO/ATC) fuse -- 10 A for 5 m of WS2815 on 16 AWG
LINK,J1,RJ45_Amphenol_54602-x08_Horizontal,Amphenol 54602-908LF,1,THT (hand solder),to the sensor board's J6: a straight-through Cat5e/Cat6 patch cable. NOT Ethernet: never plug either end into a network switch or a PoE injector
PIXEL 4,J10,"PhoenixContact_MSTB_2,5_4-GF-5,08_1x04_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776524 (MSTB 2,5/ 4-GF-5,08); plug 1778001 (MSTB 2,5/ 4-STF-5,08)",1,THT (hand solder),"12 V addressable strip (WS2815...): 1 +12V, 2 DATA, 3 BI (ground), 4 GND; 12 A per pin"
12V IN,J2,TerminalBlock_MetzConnect_Type703_RT10N02HGLU_1x02_P9.52mm_Horizontal,METZ CONNECT RT10N02HGLU,1,THT (hand solder),"the strips' 12 V, 20 A (the terminal is rated 24 A, 10 AWG), from its own 25 A fuse"
ZONE 1,J3,"PhoenixContact_MSTB_2,5_5-GF-5,08_1x05_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776537 (MSTB 2,5/ 5-GF-5,08); plug 1778014 (MSTB 2,5/ 5-STF-5,08)",1,THT (hand solder),"RGBW strip, common anode: 1 +12V, 2 R, 3 G, 4 B, 5 W (PCA9685 outputs 0-3); 12 A per pin"
ZONE 2,J4,"PhoenixContact_MSTB_2,5_5-GF-5,08_1x05_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776537 (MSTB 2,5/ 5-GF-5,08); plug 1778014 (MSTB 2,5/ 5-STF-5,08)",1,THT (hand solder),"RGBW strip, common anode: 1 +12V, 2 R, 3 G, 4 B, 5 W (PCA9685 outputs 4-7); 12 A per pin"
ZONE 3,J5,"PhoenixContact_MSTB_2,5_5-GF-5,08_1x05_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776537 (MSTB 2,5/ 5-GF-5,08); plug 1778014 (MSTB 2,5/ 5-STF-5,08)",1,THT (hand solder),"RGBW strip, common anode: 1 +12V, 2 R, 3 G, 4 B, 5 W (PCA9685 outputs 8-11); 12 A per pin"
ZONE 4,J6,"PhoenixContact_MSTB_2,5_5-GF-5,08_1x05_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776537 (MSTB 2,5/ 5-GF-5,08); plug 1778014 (MSTB 2,5/ 5-STF-5,08)",1,THT (hand solder),"RGBW strip, common anode: 1 +12V, 2 R, 3 G, 4 B, 5 W (PCA9685 outputs 12-15); 12 A per pin"
PIXEL 1,J7,"PhoenixContact_MSTB_2,5_4-GF-5,08_1x04_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776524 (MSTB 2,5/ 4-GF-5,08); plug 1778001 (MSTB 2,5/ 4-STF-5,08)",1,THT (hand solder),"12 V addressable strip (WS2815...): 1 +12V, 2 DATA, 3 BI (ground), 4 GND; 12 A per pin"
PIXEL 2,J8,"PhoenixContact_MSTB_2,5_4-GF-5,08_1x04_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776524 (MSTB 2,5/ 4-GF-5,08); plug 1778001 (MSTB 2,5/ 4-STF-5,08)",1,THT (hand solder),"12 V addressable strip (WS2815...): 1 +12V, 2 DATA, 3 BI (ground), 4 GND; 12 A per pin"
PIXEL 3,J9,"PhoenixContact_MSTB_2,5_4-GF-5,08_1x04_P5.08mm_Horizontal_ThreadedFlange","Phoenix Contact 1776524 (MSTB 2,5/ 4-GF-5,08); plug 1778001 (MSTB 2,5/ 4-STF-5,08)",1,THT (hand solder),"12 V addressable strip (WS2815...): 1 +12V, 2 DATA, 3 BI (ground), 4 GND; 12 A per pin"
